Variable,a,b,Type,To Reverse?,x
ADAS11,0,70,Bounded amounts,0,logit
ADAS13,0,75,Bounded amounts,0,logit
CDRSB,0,9,Ordered Categories,0,ordered
EcogPtDivatt,1,4,Ordered Categories,0,ordered
EcogPtLang,1,4,Ordered Categories,0,ordered
EcogPtMem,1,4,Ordered Categories,0,ordered
EcogPtOrgan,1,4,Ordered Categories,0,ordered
EcogPtPlan,1,4,Ordered Categories,0,ordered
EcogPtTotal,1,4,Ordered Categories,0,ordered
EcogPtVisspat,1,4,Ordered Categories,0,ordered
EcogSPDivatt,1,4,Ordered Categories,0,ordered
EcogSPLang,1,4,Ordered Categories,0,ordered
EcogSPMem,1,4,Ordered Categories,0,ordered
EcogSPOrgan,1,4,Ordered Categories,0,ordered
EcogSPPlan,1,4,Ordered Categories,0,ordered
EcogSPTotal,1,4,Ordered Categories,0,ordered
EcogSPVisspat,1,4,Ordered Categories,0,ordered
FAQ,0,30,Bounded counts,0,logit_frac
MMSE,0,30,Bounded counts,1,logit_frac
MOCA,0,30,Bounded counts,1,logit_frac
RAVLT.forgetting,-15,15,Difference,0,None
RAVLT.immediate,0,75,Bounded counts,0,None
RAVLT.learning,-15,15,Difference,0,None
RAVLT.perc.forgetting,0,200,Ratio,0,None
BCNAUSEA,0,1,Binary (categories),0,None
BCVOMIT,0,1,Binary (categories),0,None
BCDIARRH,0,1,Binary (categories),0,None
BCCONSTP,0,1,Binary (categories),0,None
BCABDOMN,0,1,Binary (categories),0,None
BCSWEATN,0,1,Binary (categories),0,None
BCDIZZY,0,1,Binary (categories),0,None
BCENERGY,0,1,Binary (categories),0,None
BCDROWSY,0,1,Binary (categories),0,None
BCVISION,0,1,Binary (categories),0,None
BCHDACHE,0,1,Binary (categories),0,None
BCDRYMTH,0,1,Binary (categories),0,None
BCBREATH,0,1,Binary (categories),0,None
BCCOUGH,0,1,Binary (categories),0,None
BCPALPIT,0,1,Binary (categories),0,None
BCCHEST,0,1,Binary (categories),0,None
BCURNDIS,0,1,Binary (categories),0,None
BCURNFRQ,0,1,Binary (categories),0,None
BCANKLE,0,1,Binary (categories),0,None
BCMUSCLE,0,1,Binary (categories),0,None
BCRASH,0,1,Binary (categories),0,None
BCINSOMN,0,1,Binary (categories),0,None
BCDPMOOD,0,1,Binary (categories),0,None
BCCRYING,0,1,Binary (categories),0,None
BCELMOOD,0,1,Binary (categories),0,None
BCWANDER,0,1,Binary (categories),0,None
BCFALL,0,1,Binary (categories),0,None
CDMEMORY,0,3,Ordered Categories,0,ordered
CDORIENT,0,3,Ordered Categories,0,ordered
CDJUDGE,0,3,Ordered Categories,0,ordered
CDCOMMUN,0,3,Ordered Categories,0,ordered
CDHOME,0,3,Ordered Categories,0,ordered
CDCARE,0,3,Ordered Categories,0,ordered
CDGLOBAL,0,3,Ordered Categories,0,None
FAQFINAN,0,3,Ordered Categories,0,ordered
FAQFORM,0,3,Ordered Categories,0,ordered
